Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region
Sasuke Uchiha,SSR,NRSA01-SSR-023L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Zabuza Momochi,SSR,NRSA01-SSR-024L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Hinata Hyuga,SSR,NRSA02-SSR-001L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Neji Hyuga,SSR,NRSA02-SSR-002L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Gaara,SSR,NRSA02-SSR-003L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,SSR,NRSA02-SSR-004L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kiba Inuzuka,SSR,NRSA02-SSR-005L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,SSR,NRSA02-SSR-006L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sakura Haruno,SSR,NRSA02-SSR-007L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Ino Yamanaka,SSR,NRSA02-SSR-008L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sasuke Uchiha,SSR,NRSA02-SSR-009L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Orochimaru,SSR,NRSA02-SSR-010L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Orochimaru,SSR,NRSA02-SSR-011L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Anko Mitarashi,SSR,NRSA02-SSR-012L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Neji Hyuga,SSR,NRSA02-SSR-013L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Gaara,SSR,NRSA02-SSR-014L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,SSR,NRSA02-SSR-015L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,SSR,NRSA02-SSR-016L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kabuto Yakushi,SSR,NRSA02-SSR-017L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Hinata Hyuga,SSR,NRSA02-SSR-018L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Choji Akimichi,SSR,NRSA02-SSR-019L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Ino Yamanaka,SSR,NRSA02-SSR-020L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Shikamaru Nara,SSR,NRSA02-SSR-021L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kiba Inuzuka,SSR,NRSA02-SSR-022L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Shino Aburame,SSR,NRSA02-SSR-023L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Haku,SR,NRSA01-SR-001L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku,SR,NRSA01-SR-002L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Tazuna,SR,NRSA01-SR-003L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,SR,NRSA01-SR-004L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,SR,NRSA01-SR-005L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SR,NRSA01-SR-006L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SR,NRSA01-SR-007L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SR,NRSA01-SR-008L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,SR,NRSA01-SR-009L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
