Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
Naruto Uzumaki,UR,NRSA01-UR-001L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sasuke Uchiha,UR,NRSA01-UR-002L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sakura Haruno,UR,NRSA01-UR-003L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kakashi Hatake,UR,NRSA01-UR-004L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Zabuza Momochi,UR,NRSA01-UR-005L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Haku,UR,NRSA01-UR-006L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Iruka Umino,UR,NRSA01-UR-007L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Shikamaru Nara,UR,NRSA01-UR-008L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Choji Akimichi,UR,NRSA01-UR-009L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Ino Yamanaka,UR,NRSA01-UR-010L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Neji Hyuga,UR,NRSA01-UR-011L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Rock Lee,UR,NRSA01-UR-012L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Tenten,UR,NRSA01-UR-013L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Hinata Hygua,UR,NRSA01-UR-014L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kiba Inuzuka,UR,NRSA01-UR-015L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Orochimaru,UR,NRSA02-UR-001L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Shikamaru Nara,UR,NRSA02-UR-002L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Kabuto Yakushi,UR,NRSA02-UR-003L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
