Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
Yashamaru,SE,NRSA02-SE-001L5,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Gaara,SE,NRSA02-SE-002L5,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Might Guy,SE,NRSA02-SE-003L5,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Rock Lee,SE,NRSA02-SE-004L5,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Hinata Hyuga,SP,NRSA02-SP-001L5,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Neji Hyuga,SP,NRSA02-SP-002L5,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Gaara,SP,NRSA02-SP-003L5,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Rock Lee,SP,NRSA02-SP-004L5,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Hinata Hyuga,BP,NRSA02-BP-001L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Orochimaru,BP,NRSA02-BP-002L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Choji Akimichi,BP,NRSA02-BP-003L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Shikamaru Nara,BP,NRSA02-BP-004L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Neji Hyuga,BP,NRSA02-BP-005L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Kiba Inuzuka,BP,NRSA02-BP-006L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Rock Lee,BP,NRSA02-BP-007L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Gaara,AR,NRSA02-AR-001L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Rock Lee,AR,NRSA02-AR-002L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Naruto Uzumaki,AR,NRSA02-AR-003L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Neji Hyuga,AR,NRSA02-AR-004L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Shikamaru Nara,AR,NRSA02-AR-005L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Temari,AR,NRSA02-AR-006L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Gaara,AR,NRSA02-AR-007L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Sasuke Uchiha,AR,NRSA02-AR-008L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Naruto Uzumaki,AR,NRSA02-AR-009L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Sasuke Uchiha,AR,NRSA02-AR-010L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Naruto Uzumaki,MR,NRSA02-MR-001,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Sasuke Uchiha,MR,NRSA02-MR-002,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Gaara,MR,NRSA02-MR-003,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Shikamaru Nara,MR,NRSA02-MR-004,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Neji Hyuga,MR,NRSA02-MR-005,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Hiruzen Sarutobi,MR,NRSA02-MR-006,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Orochimaru,MR,NRSA02-MR-007,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Kabuto Yakushi,PU,NRSA02-PU-001L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Orochimaru,PU,NRSA02-PU-002L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Naruto Uzumaki,PU,NRSA02-PU-003L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Jiraiya,PU,NRSA02-PU-004L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Tenten,PU,NRSA02-PU-005L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Might Guy,PU,NRSA02-PU-006L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Rock Lee,PU,NRSA02-PU-007L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
Neji Hyuga,PU,NRSA02-PU-008L4,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
NRSA02-PTR-001,PTR,NRSA02-PTR-001L3,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
NRSA02-PTR-002,PTR,NRSA02-PTR-002L3,NRSA02,SEA English Jin 2,Tier 4,Wave 7,KAYOU,SEA,December 2025
